Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,km,Municipality,Total Length,Total Width,No of Spans,Bridge Type,Construction Date
B0981A,Brige over Berg River,Bridge,Bridge,11/20/2019,MR00189,39.68,,74.3,24.95,3,Cantilever with drop in spans,1/1/1972
B0998B,KROMME RIVER AT WELLINGTON,Bridge,Bridge,11/22/2019,MR00023,21.07,Drakenstein,28.8,17.95,3,Simply supported,1/1/1955
B1001,BRIDGE OVER SOUT RIVER,Bridge,Bridge,11/12/2019,DR02383,10.19,Beaufort West,25.2,5.9,7,Simply supported,
B1302,Steel Bridge over Gouritz River,Bridge,Bridge,11/5/2019,NR00206,52.96,Mossel Bay,225,,3,Other,1/1/1930
B1420,WITBRUG OVER KNYSNA LAGOON - SOUTHBOUND,Bridge,Bridge,1/23/2020,TR00210,54.77,Knysna,,,5,,1/1/1987
B1509,Courtney Street Overhead,Bridge,Bridge,11/9/2019,TR00210,1.92,George,26.8,18.4,3,Simply supported,1/1/1968
B1564,SEEKOEI RIVER,Bridge,Bridge,11/7/2001,TR01105,11.73,,25.2,13.05,3,Simply supported,1/1/1962
B1689,24 RIVERS AT HALFMANSHOF NO 2,Bridge,Bridge,11/12/2001,DR01167,,,10.9,7.35,1,Simply supported,1/1/1944
B1689A,24 RIVERS AT HALFMANSHOF NO 1,Bridge,Bridge,11/12/2001,DR01167,,,10.9,7.3,1,Simply supported,1/1/1944
B1730,VLEI RIVER,Bridge,Bridge,11/20/2019,DR01688,25.73,Kannaland,26.02,6.7,2,Simply supported,1/1/1942
B1731,WYNANDS RIVER,Bridge,Bridge,11/7/2019,DR01688+,38.85,Oudtshoorn,20.5,6.72,3,Simply supported,1/1/2000
B2040,ROAD OVER RAIL AT LANGENHOVEN,Bridge,Bridge,11/5/2019,TR07501+,31.7,Oudtshoorn,54.2,12.78,5,Simply supported,1/1/2000
B2100,Camfersdrift River,Bridge,Bridge,11/10/2019,TR00101,0.56,George,9.9,16.5,1,Simply supported,1/1/1963
B2101,Malgas River,Bridge,Bridge - Arch,11/10/2019,TR00101,4.15,George,19.1,16.2,1,Arch,1/1/2000
B2102,ROAD OVER RAIL NEAR CAMPHER STATION,Bridge,Bridge,7/30/2020,TR00102+,4.89,George,8.05,14.4,1,Simply supported,1/1/1951
B2103,Doorn River,Bridge,Bridge,11/18/2019,TR00102,8.75,George,38.4,8.8,4,Simply supported,1/1/1951
B2107,Ezeljacht River,Bridge,Bridge,11/19/2019,TR00102,20.27,George,19.6,8.4,2,Simply supported,1/1/1952
B2108,Ganzekraal River,Bridge,Bridge,11/19/2019,TR00102,34.74,George,28.9,8.4,3,Simply supported,1/1/1953
B2109,BRIDGE OVER MOLEN RIVER,Bridge,Bridge,2/1/2021,TR00102,44.44,George,38.7,8.3,3,Simply supported,1/1/1955
B2110,BRIDGE OVER DIEP RIVER,Bridge,Bridge,2/1/2021,TR00102,45.69,George,25.6,8.3,2,Simply supported,1/1/1955
B2111,BRIDGE OVER KEURBOOMS RIVER,Bridge,Bridge,2/1/2021,TR00102,58.96,George,16.3,12.7,1,Simply supported,1/1/1960
