Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,km,Municipality,Maintenance Region,Magisterial District,Analysis Date,ACI  (Average Condition Index),PCI (Priority Condition Index)
B2610,KLEIN RIVER,Bridge,Bridge,10/10/2002,TR02802,22.93,Overstrand,Paarl,Overberg,6/30/2022,82.22,83.06
B2618,BRIDGE OVER KARS RIVER,Bridge,Bridge,12/6/2019,TR02902+,8.68,Cape Agulhas,Paarl,Overberg,6/30/2022,88.62,95.31
B2619,ROAD OVER RAIL AT DE VLEI ,Bridge,Bridge,11/20/2019,TR03001+,1.53,Theewaterskloof,Paarl,Overberg,6/30/2022,96.67,95.08
B2620,THEEWATERSKLOOF DAM SPILLWAY,Bridge,Bridge,11/20/2019,TR03001+,22.39,Theewaterskloof,Paarl,Overberg,6/30/2022,80.00,83.40
B2623A,BRIDGE OVER KLIPRIVIER (STETTYN),Bridge,Bridge,11/1/2019,TR03002+,16.03,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,82.37,61.47
B2642,KINGNA RIVER NO1 AT COGMANSKLOOF,Bridge,Bridge,11/29/2019,TR03102,22.20,Langeberg,Paarl,Cape Winelands,6/30/2022,75.76,61.61
B2643,KINGNA RIVER NO 2 AT COGMANSKLOOF,Bridge,Bridge,10/31/2019,TR03102,23.52,Langeberg,Paarl,Cape Winelands,6/30/2022,91.07,80.18
B2644,KINGNA RIVER NO1 AT MONTAGU,Bridge,Bridge,11/29/2019,TR03102,25.89,Langeberg,Paarl,Cape Winelands,6/30/2022,97.77,88.51
B2645,KINGNA RIVER NO 2 AT MONTAGU,Bridge,Bridge,11/29/2019,TR03103,1.25,Langeberg,Paarl,Cape Winelands,6/30/2022,90.65,65.10
B2654A,BRIDGE OVER DORINGRIVIER,Bridge,Bridge,12/9/2019,TR03104+,9.37,Swellendam,Paarl,Overberg,6/30/2022,75.19,50.86
B2655,BRIDGE OVER KOENIEKUILS RIVER,Bridge,Bridge,11/21/2019,TR08304,31.96,Kannaland,Oudsthoorn,Garden Route (Eden),6/30/2022,89.84,95.81
B2656,BOSVLAKTE RIVER,Bridge,Bridge,11/21/2019,TR08304,38.65,Kannaland,Oudsthoorn,Garden Route (Eden),6/30/2022,88.50,95.81
B2657,BRIDGE OVER TOUWS RIVER,Bridge,Bridge,11/21/2019,TR08304,42.99,Kannaland,Oudsthoorn,Garden Route (Eden),6/30/2022,85.31,39.29
B2658,BRIDGE OVER BOBBEJAANKRANS RIVER,Bridge,Bridge,11/21/2019,TR08304,45.16,Kannaland,Oudtshoorn,Garden Route (Eden),6/30/2022,90.62,95.12
B2659,BRIDGE OVER GROOT RIVER,Bridge,Bridge,11/20/2019,TR03104,57.37,Kannaland,Oudtshoorn,Garden Route (Eden),6/30/2022,76.02,58.72
B2660,STASSENSLEEGTE RIVER,Bridge,Bridge,11/20/2019,TR03104,65.90,Kannaland,Oudtshoorn,Garden Route (Eden),6/30/2022,91.96,87.85
B2664,NELS RIVER AT ZOAR ,Bridge,Bridge,11/19/2019,TR03105,18.53,Kannaland,Oudtshoorn,Garden Route (Eden),6/30/2022,85.42,89.88
B2665,SEVEN WEEKS POORT RIVER ,Bridge,Bridge,11/19/2019,TR03105,20.48,Kannaland,Oudtshoorn,Garden Route (Eden),6/30/2022,84.49,86.68
B2666A,COGMANSKLOOF RIVER AT ASHTON,Bridge,Bridge,11/28/2019,TR03102,17.75,Langeberg,Ashton,Cape Winelands,6/30/2022,82.98,68.84
B2668,BRIDGE OVER DORINGRIVIER,Bridge,Bridge,12/9/2019,TR03104+,19.21,Swellendam,Paarl,Overberg,6/30/2022,95.09,63.70
B2669,RUNNING STREAM RIVER,Bridge,Bridge Cellular,11/29/2019,TR03201,4.65,Langeberg,Paarl,Cape Winelands,6/30/2022,92.33,89.55
B2673,BRIDGE OVER KEURBOOMSRIVIER,Bridge,Bridge,12/11/2019,TR03201+,38.11,Swellendam,Paarl,Overberg,6/30/2022,99.33,99.27
