Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,km,Municipality,Maintenance Region,Magisterial District,Analysis Date,ACI  (Average Condition Index),PCI (Priority Condition Index)
B5669,Dawidskraal River (Cascades River),Bridge,Bridge,11/26/2019,TR02701+,24.10,Overstrand,Paarl,Overberg,6/30/2022,82.70,71.51
B5677,SLANGHOEK RIVER BRIDGE,Bridge,Bridge,10/30/2019,DR01398+,16.19,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,94.90,94.32
B5680,RIVIERSONDEREND TRIBUTARY AT EBENHAEZER,Bridge,Bridge,11/25/2019,MR00279+,20.73,Theewaterskloof,Overberg,Overberg,6/30/2022,86.67,84.98
B5681,BRIDGE OVER KLIPHUIS RIVER,Bridge,Bridge,11/13/2019,MR00542,16.63,Cederberg,Ceres,West Coast,6/30/2022,100.00,100.00
B5693,BRIDGE OVER MATJIES RIVER CAUSEWAY,Bridge,Bridge,11/12/2019,  DR01487,52.10,Cederberg,West Coast,West Coast,6/30/2022,96.43,86.21
B5730,BERG RIVER AT SKOENMAKERSFONTEIN,Bridge,Bridge,11/28/2019,DR01161,33.26,Drakenstein,Cape Winelands,Cape Winelands,6/30/2022,81.25,76.38
B5731,"BERG RIVER AT OU WA
",Bridge,Bridge,12/5/2019,DR01175,10.83,Swartland,West Coast,West Coast,6/30/2022,68.75,68.01
B5734,RIVIERSONDEREND AT NETHERCOURT,Bridge,Bridge,11/11/2019,DR01279,20.46,Theewaterskloof,Overberg,Overberg,6/30/2022,97.78,98.86
B5736,Brakkloof River,Bridge,Bridge,11/7/2019,TR00209,9.47,George,Oudtshoorn,Garden Route (Eden),6/30/2022,94.44,92.92
B5738,OLIFANTS RIVER ,Bridge,Bridge,11/20/2019,DR01681,6.19,Kannaland,,Garden Route (Eden),6/30/2022,78.52,77.88
B5739,RIET RIVER,Bridge,Bridge,11/1/2019,TR03103,21.96,Langeberg,Paarl,Cape Winelands,6/30/2022,91.67,93.86
B5740,KRUISPAD RIVER ,Bridge,Bridge Cellular,11/1/2019,TR03103,28.34,Langeberg,Paarl,Cape Winelands,6/30/2022,69.60,48.77
B5741,BRIDGE OVER SCHEEPERSRUS RIVER,Bridge,Bridge,11/1/2019,TR03103,30.55,Langeberg,Paarl,Cape Winelands,6/30/2022,95.00,95.19
B5743,CELLULAR BRIDGE OVER KLEIN-DORINGKLOOFRIVIER,Bridge,Bridge Cellular,12/9/2019,TR03103+,53.98,Swellendam,Paarl,Overberg,6/30/2022,82.95,79.31
B5744,BRIDGE OVER TRADOURIVIER TRIBUTARY,Bridge,Bridge,12/10/2019,TR03103+,57.19,Swellendam,Paarl,Overberg,6/30/2022,95.56,88.95
B5745,BRIDGE OVER SOUTKLOOF RIVER,Bridge,Bridge,12/10/2019,TR03103+,60.77,Swellendam,Paarl,Overberg,6/30/2022,98.74,97.85
B5746,BRIDGE OVER HUISRIVIER,Bridge,Bridge,12/10/2019,TR06501+,32.53,Swellendam,Paarl,Overberg,6/30/2022,98.06,96.32
B5750,BRIDGE OVER BIEDOURIVIER,Bridge,Bridge Cellular,12/12/2019,DR02262,13.02,Cederberg,West Coast,West Coast,6/30/2022,84.66,60.74
B5751A,CELLULAR BRIDGE OVER POORTRIVIER,Bridge,Bridge Cellular,12/6/2019,MR00262+,5.71,Cape Agulhas,Overberg,Overberg,6/30/2022,100.00,100.00
B5753,DORING RIVER NO 1 BRIDGE,Bridge,Bridge,11/1/2019,DR01375+,2.10,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,94.64,94.37
B5754,Moeras River near Geelhoutboom,Bridge,Bridge Cellular,11/8/2019,DR01631,1.98,George,,Garden Route (Eden),6/30/2022,88.07,85.57
B5755,Hartenbos River,Bridge,Bridge,11/6/2019,MR00344,0.11,Mossel Bay,,Garden Route (Eden),6/30/2022,98.66,98.54
B5767,KLEINPLAAS STREAM,Bridge,Bridge,7/4/2002,TR03101,1.42,Breede Vallei,Worcester,Cape Winelands,6/30/2022,92.78,84.88
B5768,BREWELSKLOOF STREAM,Bridge,Bridge,7/4/2002,TR03101,1.64,Breede Vallei,Worcester,Cape Winelands,6/30/2022,93.33,84.98
B5769,HEX RIVER NO 1,Bridge,Bridge,7/4/2002,TR03101,1.97,Breede Vallei,Worcester,Cape Winelands,6/30/2022,86.61,83.75
B5770,HEX RIVER NO 2,Bridge,Bridge,7/4/2002,TR03101,2.21,Breede Vallei,Worcester,Cape Winelands,6/30/2022,78.12,82.77
B5771,HEX RIVER NO 3,Bridge,Bridge,7/4/2002,TR03101,2.35,Breede Vallei,Worcester,Cape Winelands,6/30/2022,78.12,82.77
B5772,HEX RIVER NO 4,Bridge,Bridge,7/4/2002,TR03101,2.43,Breede Vallei,Worcester,Cape Winelands,6/30/2022,78.12,82.77
B5773,HEX RIVER NO 5,Bridge,Bridge,11/7/2019,TR03101+,2.71,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,100.00,100.00
B5774,HEX RIVER NO 6,Bridge,Bridge,11/7/2019,TR03101+,2.76,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,100.00,100.00
B5775,HEX RIVER NO 7,Bridge,Bridge,11/7/2019,TR03101+,2.82,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,97.32,97.36
B5776,HEX RIVER NO 8,Bridge,Bridge,11/7/2019,TR03101+,2.90,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,95.56,92.42
B5777,HEX RIVER NO 9,Bridge,Bridge,11/7/2019,TR03101+,3.10,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,94.44,82.86
B5778,HEX RIVER NO 10,Bridge,Bridge,11/7/2019,TR03101+,3.87,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,97.22,94.47
B5779,Hex River No 11,Bridge,Bridge,11/7/2019,TR03101+,4.10,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,95.42,92.40
B5780,NUY RIVER,Bridge,Bridge,11/6/2019,TR03101+,11.85,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,92.41,39.68
B5781,Willem Nels River,Bridge,Bridge,11/18/2019,TR03101,44.94,Langeberg,Paarl,Cape Winelands,6/30/2022,95.24,95.43
B5785,IRRIGATION CANAL AT TRAWAL,Bridge,Bridge,11/12/2019,DR02197+,0.08,Matzikama,West Coast,West Coast,6/30/2022,99.44,99.19
B5792,BERG RIVER CAUSEWAY AT SONQUASDRIF,Bridge,Bridge,11/21/2019,DR01154,4.32,Drakenstein,Cape Winelands,Cape Winelands,6/30/2022,93.62,82.18
B5796,Weltevreden Road Bridge,Bridge,Bridge,11/4/2019,TR08101,9.76,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,97.32,87.33
B5832,DASSIEDRAAI RIVER,Bridge,Bridge,9/9/2003,TR03305,25.62,Prince Albert,Oudtshoorn,Central Karoo,6/30/2022,81.94,76.03
B5837,Road over road at Koeberg Interchange,Bridge,Bridge,11/4/2019,TR00201,0.00,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,92.19,80.41
B5846,BRIDGE OVER BUFFELS RIVER,Bridge,Bridge,11/12/2019,DR02405,57.40,Beaufort West,Central Karoo,Central Karoo,6/30/2022,90.21,81.58
B5851,Paapenberg Road Interchange,Bridge,Bridge,11/8/2019,TR00201,3.46,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,69.16,25.88
B5859,BRIDGE OVER JAN DU TOITS RIVER,Bridge,Bridge,10/31/2019,OP05699,0.34,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,85.71,52.52
B5861,Bosmansdam Interchange No.2,Bridge,Bridge,11/21/2019,TR01101,1.35,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,76.66,53.78
B5863,Bridge over Mosselbank River,Bridge,Bridge,11/19/2019,MR00188,25.73,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,92.41,72.05
B5884,OLD OAK INTERCHANGE NO 2,Bridge,Bridge,11/12/2019,TR00901,18.73,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,100.00,100.00
B5885,BRIDGE OVER RIVIERSONDEREND,Bridge,Bridge,12/9/2019,MR00282+,0.61,Swellendam,Overberg,Overberg,6/30/2022,91.74,79.01
B5887,Koeberg Interchange No.1,Bridge,Bridge,11/4/2019,TR00901,0.15,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,85.49,81.14
B5888,Koeberg Interchange No. 2,Bridge,Bridge,11/4/2019,TR00901,0.30,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,86.27,82.88
B5889,Koeberg Interchange No. 3,Bridge,Bridge,11/4/2019,TR00901,0.20,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,73.55,74.51
B5890,Koeberg Interchange No. 4,Bridge,Bridge,11/5/2019,TR00901,0.28,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,81.70,79.53
B5895,Modder River at Fancourt,Bridge,Bridge,11/10/2019,MR00347,0.00,George,,Garden Route (Eden),6/30/2022,99.87,97.70
B5901,OUTENIQUE PASS VIADUCT,Bridge,Bridge,11/19/2019,TR00101,12.18,George,Oudtshoorn,Garden Route (Eden),6/30/2022,94.37,83.00
B5905,Touw River,Bridge,Bridge,11/9/2019,MR00355,15.09,George,,Garden Route (Eden),6/30/2022,92.22,87.86
B5906,Hoogekraal River,Bridge,Bridge,11/9/2019,MR00355,33.90,Knysna,,Garden Route (Eden),6/30/2022,91.39,86.08
B5907,KARATARA RIVER,Bridge,Bridge,11/26/2019,MR00355,43.17,Knysna,,Garden Route (Eden),6/30/2022,97.22,95.22
B5908,Homtini River,Bridge,Bridge,11/27/2019,MR00355,54.61,Knysna,,Garden Route (Eden),6/30/2022,92.19,86.13
B5910,CAPE FLATS ROAD OVER RAIL,Bridge,Bridge,11/15/2019,TR00201,4.79,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,81.03,13.89
B5911,ATHLONE ROAD OVER RAIL,Bridge,Bridge,11/15/2019,TR00201,5.10,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,77.22,56.27
B5912,BORCHERDS QUARRY PEDESTRIAN OVERPASS,Bridge,Bridge,11/12/2019,TR00201,13.75,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,86.72,79.31
B5913,HOOPS RIVER,Bridge,Bridge,11/18/2019,TR03102,0.26,Langeberg,Cape Winelands,Cape Winelands,6/30/2022,93.08,96.96
B5919,"BERG RIVER AT SIR GEORGE GREY
",Bridge,Bridge,11/22/2019,MR00191,15.64,Stellenbosch,Cape Winelands,Cape Winelands,6/30/2022,82.59,94.17
B5935,Belhar bridge over Kuils river canal,Bridge,Bridge,11/4/2019,MR00177,14.29,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,95.65,78.37
B5936,"DWARS RIVER
",Bridge,Bridge,11/21/2019,MR00191,10.66,Stellenbosch,Cape Winelands,Cape Winelands,6/30/2022,84.38,56.82
B5939,BOYS TOWN PEDESTRIAN OVERPASS,Bridge,Bridge,11/13/2019,TR00201,15.49,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,87.28,62.60
B5948,Settlers Way Interchange,Bridge,Bridge,11/7/2019,TR00201,2.87,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,80.36,26.94
B5949A,Black River at Settlers Way Interchange,Bridge,Bridge,11/7/2019,TR00201,2.96,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,75.82,16.07
B5953,SALDANHA PORT ROAD OVER RAIL,Bridge,Bridge,2/20/2020,MR00559,5.06,Saldanha Bay,West Coast,West Coast,6/30/2022,90.25,81.12
B5954,Black River SE Ramp,Bridge,Bridge,11/8/2019,TR00201,3.18,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,95.85,97.25
B5955,NYANGA ROAD OVER RAIL,Bridge,Bridge,11/12/2019,TR00201,10.86,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,80.43,81.10
B5956,AIRPORT ACCESS INTERCHANGE,Bridge,Bridge,11/12/2019,TR00201,12.08,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,83.50,65.32
B5960,SABLE ROAD INTERCHANGE,Bridge,Bridge,11/26/2019,TR00901,3.58,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,99.55,99.19
B5961,Road over rail - Sable,Bridge,Bridge,11/26/2019,TR00901,3.58,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,94.44,94.72
B5965,AIRPORT ACCESS ROAD UNDERPASS NO 2,Bridge,Bridge,11/11/2019,TR05401,1.51,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,83.26,70.37
B5965A,AIRPORT ACCESS ROAD UNDERPASS NO 01,Bridge,Bridge,11/11/2019,TR05401,1.54,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,86.31,66.20
B5967,CARL CRONJE DRIVE UNDERPASS,Bridge,Bridge,11/12/2019,TR00901,15.83,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,100.00,100.00
B5968,MEIRINGSPOORT RIVER CAUSEWAY,Bridge,Bridge,11/7/2019,DR01707+,8.49,Oudtshoorn,Oudsthoorn,Garden Route (Eden),6/30/2022,91.29,90.29
B5969,OLIFANTS RIVER CAUSEWAY,Bridge,Bridge,11/7/2019,DR01707+,8.49,Oudtshoorn,Oudsthoorn,Garden Route (Eden),6/30/2022,93.08,81.28
B5970,WYNANDS RIVER CAUSEWAY,Bridge,Bridge,11/7/2019,DR01689+,14.67,Oudtshoorn,Oudsthoorn,Garden Route (Eden),6/30/2022,93.45,96.45
B5981,Waterfall Pedestrian bridge,Bridge,Bridge,11/16/2019,TR03304+,11.60,Prince Albert,Central Karoo,Central Karoo,6/30/2022,89.40,74.61
B5982,Bad River Bridge,Bridge,Bridge,11/7/2019,MR00582+,74.44,Prince Albert,Central Karoo,Central Karoo,6/30/2022,90.18,71.66
B5983,BRIDGE OVER HEX RIVER AT KANETVLEI,Bridge,Bridge,10/31/2019,OP05719+,0.49,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,87.45,75.03
B5984,Phillipi Pedestrian Bridge,Bridge,Bridge,11/4/2019,TR08101,13.15,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,96.65,98.05
B5986,DUIWENHOKS RIVER BRIDGE,Bridge,Bridge,11/21/2019,DR01315,0.76,Hessequa,,Garden Route (Eden),6/30/2022,92.19,97.12
B5987,CELLULAR BRIDGE  OVER UILENKRAALS RIVER,Bridge,Bridge Cellular,11/22/2019,DR01220+,8.40,Overstrand,Stanford,Overberg,6/30/2022,100.00,100.00
B5989,BRIDGE OVER NUWEJAARS RIVER,Bridge,Bridge,12/5/2019,MR00262+,18.88,Cape Agulhas,Overberg,Overberg,6/30/2022,100.00,100.00
B5990,BRIDGE OVER NUWEJAARS RIVER NO 2,Bridge,Bridge Cellular,12/5/2019,MR00262+,19.11,Cape Agulhas,Overberg,Overberg,6/30/2022,92.28,79.31
B5991,BRIDGE OVER NUWEJAARS RIVER TRIBUTORY,Bridge,Bridge Cellular,12/6/2019,DR01205+,46.49,Cape Agulhas,Overberg,Overberg,6/30/2022,100.00,100.00
B5992,Uilenkraals River Bridge on DR01205,Bridge,Bridge,11/21/2019,DR01205+,7.96,Overstrand,Baardskeerdersbos,Overberg,6/30/2022,86.98,80.75
B5993,BRIDGE 5993 ON TR11/1 AT POTSDAM INTERCHANGE,Bridge,Bridge,7/9/2021,TR01101,8.71,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,100.00,100.00
B5994,BRIDGE AT DOORN RIVER,Bridge,Bridge,11/19/2019,MR00286,11.70,Hessequa,,Garden Route (Eden),6/30/2022,84.44,93.18
B5995,BRIDGE OVER DORPS RIVER ON R328,Bridge,Bridge,11/15/2019,MR00369+,36.70,Prince Albert,Oudtshoorn,Central Karoo,6/30/2022,91.18,96.55
B5996,VANGUARD DRIVE,Bridge,Bridge,11/12/2019,TR00201,11.47,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,88.54,83.34
B5998,BRIDGE OVER HEX RIVER AT ORCHARD,Bridge,Bridge,10/31/2019,DR01438+,5.60,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,96.11,94.36
B5999,BRIDGE OVER HEX RIVER AT VOLMOED,Bridge,Bridge,10/30/2019,OP05742+,3.12,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,94.44,88.51
B6000,Ramp at Koeberg Interchange,Bridge,Bridge,11/14/2019,TR00201,0.00,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,87.29,73.42
B6001,Ramp at Koeberg Interchange,Bridge,Bridge,11/14/2019,TR00201,0.00,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,94.65,90.10
B6002,Black River Bridge,Bridge,Bridge,11/7/2019,TR00201,1.97,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,89.04,81.61
B6003,BRIDGE OVER THE BROEK RIVER (PALM),Bridge,Bridge,10/29/2019,OP05745+,0.84,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,92.78,87.09
B6004,Bridge over the Witte Els River,Bridge,Bridge,11/8/2019,DR01631,7.14,George,,Garden Route (Eden),6/30/2022,98.21,95.40
B6005,BAVIAANS RIVER BRIDGE,Bridge,Bridge,11/7/2019,DR01298,26.31,Theewaterskloof,Overberg,Overberg,6/30/2022,90.00,82.82
B6006,BRIDGE OVER KROM RIVER (VALLEY ROAD),Bridge,Bridge,12/2/2019,DR01285+,10.28,Theewaterskloof,Overberg,Overberg,6/30/2022,87.50,96.55
B6007,Brandwag River Causeway at Geelbek,Bridge,Bridge Cellular,11/6/2019,DR01581,0.12,Mossel Bay,Eden,Garden Route (Eden),6/30/2022,92.90,87.36
B6009,Valkenberg Overpass,Bridge,Bridge,11/7/2019,TR00201,2.42,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,92.56,89.26
B6010,RIVER BRIDGE AT EIKENHOF,Bridge,Bridge,10/30/2019,OP05742+,0.85,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,85.28,82.42
B6011,BRIDGE OVER BOESMANS RIVER,Bridge,Bridge,11/18/2019,DR01339,6.56,Langeberg,Cape Winelands,Cape Winelands,6/30/2022,97.56,97.19
B6012,BRIDGE OVER HEX RIVER AT MORGENSON,Bridge,Bridge,10/30/2019,OP05740+,0.77,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,90.00,86.21
B6013,BRIDGE OVER HEX RIVER AT HEX RIVER STATION,Bridge,Bridge,10/31/2019,OP05723+,0.12,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,79.20,71.31
B6014,BRIDGE OVER HEX RIVER AT DE VLEI,Bridge,Bridge,10/30/2019,OP05739+,0.86,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,96.67,94.15
B6016,BRIDGE OVER SOUTRIVIER CANAL,Bridge,Bridge,11/26/2019,TR00901,0.12,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,93.04,84.35
B6017,"BRIDGE AT Km 2.37 (VREDENBERG)
",Bridge,Bridge,11/7/2019,MR00166,2.37,Stellenbosch,Paarl,Cape Winelands,6/30/2022,89.44,96.39
B6018,BRIDGE OVER CANAL,Bridge,Bridge,11/5/2019,DR02222+,0.47,Matzikama,West Coast,West Coast,6/30/2022,97.78,98.83
B6019,"ROAD OVER RAIL AT VLAEBERG ROAD
",Bridge,Bridge,11/1/2019,DR01052,0.21,Stellenbosch,Paarl,Cape Winelands,6/30/2022,100.00,100.00
B6021,LANGTOU RIVER,Bridge,Bridge Cellular,11/5/2019,MR00342,43.50,Mossel Bay,Eden,Garden Route (Eden),6/30/2022,99.37,97.36
B6024,"PEDESTRIAN BRIDGE OVER RAIL
",Bridge,Bridge,10/31/2019,OP05204,0.06,Stellenbosch,Cape Winelands,Cape Winelands,6/30/2022,97.50,82.45
B6025,BRIDGE OVER BAVIAANS RIVER AT GENADENDAL,Bridge,Bridge,11/7/2019,OP04087,1.71,Theewaterskloof,Overberg,Overberg,6/30/2022,69.17,76.51
B6026,BRIDGE OVER BOT RIVER AT KANAAN,Bridge,Bridge,12/2/2019,DR01288+,10.53,Theewaterskloof,Overberg,Overberg,6/30/2022,94.44,93.83
B6027,BRIDGE OVER ELANDSKLOOF RIVER AT MEERLUSTKLOOF,Bridge,Bridge,11/6/2019,DR01313,10.26,Theewaterskloof,Overberg,Overberg,6/30/2022,94.52,96.52
B6028,BRIDGE OVER JAN DE BOERS RIVER,Bridge,Bridge,10/29/2019,YMR00308+,1.37,Breede Vallei,Touws River,Cape Winelands,6/30/2022,79.02,68.19
B6029,ARMCO AT BUFFELSKRAAL OVER HEX RIVER,Bridge,Bridge Cellular,10/30/2019,OP05746+,0.43,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,92.33,78.08
B6031,BRIDGE OVER MEULE RIVIER,Bridge,Bridge,11/5/2019,DR01298+,17.87,Theewaterskloof,Overberg,Overberg,6/30/2022,97.32,98.69
B6036,SALDANHA INTERCHANGE,Bridge,Bridge,11/14/2019,TR08501,0.00,Saldanha Bay,Ceres,West Coast,6/30/2022,98.75,98.82
B6037,ROAD OVER RAIL BRIDGE,Bridge,Bridge,11/11/2019,MR00559,1.88,Saldanha Bay,Ceres,West Coast,6/30/2022,99.11,98.38
B6038,SALDANHA OVERPASS,Bridge,Bridge,11/14/2019,TR08501,0.00,Saldanha Bay,Ceres,West Coast,6/30/2022,98.89,98.94
B6042,LINK ROAD BRIDGE OVER MR00559,Bridge,Bridge,11/11/2019,MR00559,3.57,Saldanha Bay,Ceres,West Coast,6/30/2022,100.00,100.00
B6043,ROAD OVER ROAD AND RAIL AT FAURE,Bridge,Bridge,11/17/2020,MR00168,0.30,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,94.05,92.38
B6045,LOW WATER BRIDGE OVER BUFFELSRIVER,Bridge,Bridge Cellular,11/8/2019,OP06523,0.02,Laingsburg,Oudtshoorn,Central Karoo,6/30/2022,100.00,100.00
B6090,BRANDWACHT PEDESTRIAN BRIDGE,Bridge,Bridge,10/14/2021,TR03302,10.96,Mossel Bay,Mossel Bay,Garden Route (Eden),6/30/2022,100.00,100.00
B6091,CELLULAR BRIDGE OVER KRUIS RIVER (ARMCO),Bridge,Bridge Cellular,11/21/2019,MR00363,12.56,Kannaland,Eden,Garden Route (Eden),6/30/2022,94.03,92.66
B6092,CELLULAR BRIDGE AT KRUIS RIVER,Bridge,Bridge Cellular,11/21/2019,MR00363,8.98,Kannaland,Eden,Garden Route (Eden),6/30/2022,94.03,92.66
B6093, CELLULAR BRIDGE OVER KRUIS RIVER (ARMCO),Bridge,Bridge Cellular,11/21/2019,MR00363,8.66,Kannaland,Eden,Garden Route (Eden),6/30/2022,87.83,82.62
B6094,CELLULAR BRIDGE OVER WILGE RIVER,Bridge,Bridge Cellular,11/19/2019,TR03105,24.63,Kannaland,Oudtshoorn,Garden Route (Eden),6/30/2022,89.86,91.47
B6095,CELLULAR BRIDGE AT VAARWEL RIVER,Bridge,Bridge Cellular,11/19/2019,TR03105,26.50,Kannaland,Oudtshoorn,Garden Route (Eden),6/30/2022,83.78,68.36
B6096,BRIDGE OVER TOUWRIVIER (CAUSEWAY),Bridge,Bridge,11/18/2019,DR01401,7.90,Kannaland,Eden,Garden Route (Eden),6/30/2022,87.95,82.77
B6097,CELLULAR BRIDGE AT TWISTWYK,Bridge,Bridge Cellular,11/12/2019,DR01303,11.20,Theewaterskloof,Overberg,Overberg,6/30/2022,97.30,97.12
B6098,CELLULAR BRIDGE AT RIETPOEL,Bridge,Bridge Cellular,11/12/2019,MR00267+,39.11,Theewaterskloof,Overberg,Overberg,6/30/2022,79.05,60.49
B6099,CELLULAR BRIDGE OVER DIEP RIVER,Bridge,Bridge Cellular,11/20/2019,DR01647,0.49,George,,Garden Route (Eden),6/30/2022,94.70,90.73
B6100,CELLULAR BRIDGE OVER GEELHOUT RIVER,Bridge,Bridge Cellular,12/4/2019,DR01645+,3.27,George,DMA Eden,Garden Route (Eden),6/30/2022,92.05,97.12
B6101,BRIDGE OVER NORGA RIVER,Bridge,Bridge,11/18/2019,TR00209,20.69,George,Oudtshoorn,Garden Route (Eden),6/30/2022,97.77,94.94
B6102,CELLULAR BRIDGE NEAR JUNCTION TRUNK ROAD 1 SECTION 3,Bridge,Bridge Cellular,11/12/2019,MR00368+,64.63,George,DMA Eden,Garden Route (Eden),6/30/2022,98.31,97.47
B6103,BRIDGE OVER ROOIKRANS RIVER,Bridge,Bridge,2/1/2021,TR04401+,36.33,George,Oudtshoorn,Garden Route (Eden),6/30/2022,100.00,100.00
B6104,KOUGA RIVER CAUSEWAY,Bridge,Bridge Cellular,11/22/2019,DR01833,2.61,George,,Garden Route (Eden),6/30/2022,88.35,76.29
B6105,BRIDGE OVER THE BRAK RIVIER,Bridge,Bridge,11/19/2019,TR00102,17.01,George,Oudtshoorn,Garden Route (Eden),6/30/2022,88.84,82.30
B6106,GEMSBOK RIVER,Bridge,Bridge Cellular,6/29/2020,TR03305,77.28,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,84.38,85.48
B6107,TONTELDOOS RIVER NO 2,Bridge,Bridge Cellular,6/29/2020,TR03305,81.29,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,80.68,79.55
B6109,BRIDGE OVER OUDSTE RIVER,Bridge,Bridge,9/2/2020,DR02176+,28.48,Cederberg,Ceres,West Coast,6/30/2022,95.54,85.06
B6110,BRIDGE OVER GROOT RIVER,Bridge,Bridge,8/18/2020, TR03103+,38.36,Swellendam,Paarl,Overberg,6/30/2022,100.00,100.00
B6111,BRIDGE OVER HOTNOTSKRAAL RIVER  AT KYKOEDIE,Bridge,Bridge,9/14/2020,MR00265+,25.87,Cape Agulhas,Overberg,Overberg,6/30/2022,100.00,100.00
B6118,BRIDGE OVER VYGEKRAAL RIVER,Bridge,Bridge,11/13/2019,TR00201,7.03,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,92.22,91.29
B6119,AGRICULTURAL UNDERPASS AT BRAKFONTEIN ,Bridge,Bridge Cellular,11/18/2019,MR00267+,24.86,Theewaterskloof,Overberg,Overberg,6/30/2022,85.80,86.49
B6120,CELLULAR BRIDGE OVER BLOUSLOOT RIVER,Bridge,Bridge Cellular,11/26/2019,MR00023,4.11,Drakenstein,Cape Winelands,Cape Winelands,6/30/2022,87.78,85.00
B6121,CELLULAR BRIDGE OVER BREEDE RIVER ,Bridge,Bridge Cellular,11/28/2019,DR01341,1.03,Langeberg,Cape Winelands,Cape Winelands,6/30/2022,83.69,71.90
B6122,BRIDGE OVER NOGO RIVER,Bridge,Bridge,11/7/2001,MR00230,3.03,Swartland,Moorreesburg,West Coast,6/30/2022,71.88,81.61
B6123,CELLULAR BRIDGE OVER BRANDEWYN RIVER,Bridge,Bridge Cellular,11/6/2019,MR00542+,32.86,Cederberg,Ceres,West Coast,6/30/2022,80.97,80.46
B6124,CELLULAR BRIDGE OVER HOOPS RIVER,Bridge,Bridge Cellular,7/5/2020,MR00290,0.25,Langeberg,Cape Winelands,Cape Winelands,6/30/2022,90.91,96.57
B6125,BRIDGE OVER AFDAKS RIVER,Bridge,Bridge,11/29/2019,DR01254+,1.03,Overstrand,Kleinmond,Overberg,6/30/2022,87.28,82.97
